Retailer Id,RetailerName,current status,landingUrl,Live or Not,status
880,BaadshahGaming-Rummy,Active,https://www.baadshahgaming.com/,Yes,
866,BaadshahGaming.com,Active,https://www.baadshahgaming.com/,Yes,
2003,Baby Dove,Active,https://www.babydove.in/,No,
2004,Baby Dove D,Active,https://www.babydove.in/,No,
794,BabyChakra.com,Active,https://www.babychakra.com/shop,No,
417,Babyhugz.com,Active,http://35.194.30.57/go2store/id/417,No,
325,Babykare.in,Active,http://35.194.30.57/go2store/id/325,No,
55,BabyOye.com,Active,http://35.194.30.57/go2store/id/55,No,
1866,Badman Grooming,Active,https://badmangrooming.com,Yes,
1867,Badman Grooming D,Active,https://badmangrooming.com,Yes,
273,Bagittoday.com,Active,http://35.194.30.57/go2store/id/273,No,
326,Bagmartindia.com,Active,http://35.194.30.57/go2store/id/326,No,
63,BagsKart.com,Active,http://35.194.30.57/go2store/id/63,No,
535,Bajaj Electricals,Active,https://shop.bajajelectricals.com/Y,Yes,
1108,Bajaj Finserv,Active,https://www.bajajfinserv.in/wallet-protect-card-protection-insurance-plan,Yes,
2258,Bajaj Finserv DBS Credit Card D,Active,https://www.bajajfinserv.in/webform/creditCard,Yes,
2026,Bajaj Finserv Emi Card,Active,https://www.bajajfinserv.in/,Yes,
1873,Bajaj Finserv Emi Card D,Active,https://www.bajajfinserv.in/,Yes,
2198,Bajaj Finserv RBL Credit Card,Active,https://www.bajajfinserv.in/apply-for-rbl-bank-credit-card-online,Yes,
2199,Bajaj Finserv RBL Credit Card D,Active,https://www.bajajfinserv.in/apply-for-rbl-bank-credit-card-online,Yes,
894,Ballebaazi.com,Active,https://www.ballebaazi.com/,Yes,
988,Banggood.in,Active,https://www.banggood.in/,Yes,
2307,Bank of Baroda,Active,https://cardonline.bobfinancial.com/,Yes,
2308,Bank of Baroda,Active,https://cardonline.bobfinancial.com/,Yes,
1858,Bank of Baroda CC D,Active,https://cardonline.bobfinancial.com/,Yes,
2252,Bank Sathi,Active,https://www.banksathi.com/,Yes,
828,BankBazaar.com,Active,https://www.bankbazaar.com/,Yes,
1229,Bankyatra,Active,https://www.bankyatra.com/term-life-insurance,Yes,
1255,Bankyatra Max,Active,https://www.bankyatra.com/jd/health-insurances,Yes,
47,Barcode91.com,Active,http://35.194.30.57/go2store/id/47,Yes,
1892,Bare Anatomy,Active,https://bareanatomy.in/,Yes,
1893,Bare Anatomy D,Active,https://bareanatomy.in/,Yes,
1991,Bars of Beauty D,Active,https://barsofbeauty.in,Yes,
162,Basicslife.com,Active,http://35.194.30.57/go2store/id/162,No,
197,Bata.in,Active,https://www.bata.com/,Yes,
1194,BataT,Active,https://www.bata.in/,Yes,
2156,Bath&BodyWorks,Active,https://www.bathandbodyworks.in/,Yes,
2157,Bath&BodyWorks D,Active,https://www.bathandbodyworks.in/,Yes,
1344,BathItUp,Active,https://www.bathitup.com/,No,
26,Bathladirect.com,Active,http://35.194.30.57/go2store/id/26,No,
490,Bazaarcart.com,Active,http://35.194.30.57/go2store/id/490,No,
1062,BB Daily,Active,https://www.bigbasket.com/bbdaily/,Yes,
2221,BBlunt,Active,https://bblunt.com/,Yes,
2222,Bblunt D,Active,https://bblunt.com/,,
1104,Beadsnfashion,Active,,,
670,Beardo,Active,https://www.beardo.in/,Yes,
1347,Beardo D,Active,https://www.beardo.in/,Yes,
1445,Beardo exclusive ,INActive,https://www.beardo.in/,Yes,
2122,Beato,Active,https://pages.beatoapp.com/v2/free-gluco_lp-curv_oyo/,Yes,
1616,Beatoapp D,Active,https://beatoapp.com/,Yes,
846,Beatoapp.com,Active,https://www.beatoapp.com/,Yes,
1683,BeBodywise,Active,https://bebodywise.com/,Yes,
1684,BeBodywise D,Active,https://bebodywise.com/,Yes,
130,Bedbathmore.com,Active,http://35.194.30.57/go2store/id/130N,No,
277,Beebayonline.com,Active,http://35.194.30.57/go2store/id/277,No,
824,BeelineBroking.com,Active,http://beelinebroking.com/,No,
1651,Behrouzbiryani D,INActive,https://www.behrouzbiryani.com/,Yes,
555,Behrouzbiryani.com,Active,https://www.behrouzbiryani.com/,Yes,
1799,BellavitaOrganic,Active,https://bellavitaorganic.com,Yes,
1800,BellavitaOrganic D,Active,https://bellavitaorganic.com,Yes,
1033,Berrylook.com,Active,https://www.berrylook.com/,Yes,
2040,Bestseller clothing,Active,https://www.bestsellerclothing.in/,Yes,
2048,Bestseller clothing D,Active,https://www.bestsellerclothing.in/,Yes,
56,BeStylish.com,Active,http://35.194.30.57/go2store/id/56,No,
1712,Betway D,INActive,https://betway.com,Yes,
2010,Bevzilla,Active,https://www.bevzilla.co/,Yes,
2011,Bevzilla D,Active,https://www.bevzilla.co/,Yes,
410,Bewakoof.com,Active,https://www.bewakoof.com/,Yes,
887,Beyondenough.in,Active,https://www.beyondenough.in/,Yes,
2166,Beyoung,Active,https://www.beyoung.in/,Yes,
2167,Beyoung D,Active,https://www.beyoung.in/,Yes,
276,Bhaap.com,Active,http://35.194.30.57/go2store/id/276,No,
1685,Bhartidasan University D,INActive,https://www.bduedu.in/,Yes,
932,Bhim-Abpb,Active,https://www.adityabirla.bank/bhim-abpb-upi,No,
1373,BHU Botanicals,Active,https://bhubotanicals.com/,Yes,
2217,Biba D,Active,https://www.biba.in/,Yes,
447,Biba.in,Active,https://www.biba.in/,Yes,
356,BiblioFreaks.com,Active,http://35.194.30.57/go2store/id/356,No,
1846,Bidzapp D,Active,https://bidzapp.in,No,
1069,Big Bazaar,Active,https://www.bigbazaar.com/,No,
1575,Big Bazaar D,Active,https://www.bigbazaar.com/,No,
733,Bigbasket-App,Active,https://www.bigbasket.com/,Yes,
502,Bigbasket.com,Active,https://www.bigbasket.com/,Yes,
166,Bigbite.in,Active,http://35.194.30.57/go2store/id/166,No,
680,Bigbuys.in,Active,http://35.194.30.57/go2store/id/680,No,
104,BigFlix.com,Active,http://35.194.30.57/go2store/id/104,No,
91,Bigrock.in,Active,https://www.bigrock.in/,Yes,
1039,Bigsmall.in,Active,https://www.bigsmall.in/,Yes,
1109,Binomo,Active,https://binomo.com,Yes,
2270,Binomo D,Active,https://binomo.com/,Yes,
1404,Bioderma India,Active,https://biodermaindia.com/,No,
1772,Biotique D,Active,https://www.biotique.com/,Yes,
779,Biotique.com,Active,https://www.biotique.com/,Yes,
1403,Bisleri Shop,Active,https://shop.bisleri.com/,Yes,
1816,Bisleri Shop D,Active,https://www.bisleri.com/,Yes,
541,Blackberrys,Active,http://www.blackberrys.com/,Yes,
2241,Blackberrys D,Active,http://www.blackberrys.com/,Yes,
1880,Blinkit D,Active,https://blinkit.com/,Yes,
1572,Blitzpools D,Active,https://campaigns.blitzpools.com/,No,
1303,Blockchain Council,Active,https://www.blockchain-council.org/,Yes,
403,Bluegape.com,Active,http://35.194.30.57/go2store/id/403,No,
1337,Bluehost,Active,https://www.bluehost.in/,Yes,
73,Bluestone.com,Active,https://www.bluestone.com/,Yes,
1450,boAt,Active,https://www.boat-lifestyle.com/,Yes,
1451,boAt D,Active,https://www.boat-lifestyle.com/,Yes,
1421,Boddess,Active,https://www.boddess.com/,Yes,
1523,Boddess D,Active,https://www.boddess.com/,Yes,
1240,Bodog,Active,https://www.bodog.com/in/,No,
1367,Body And Fragrance,Active,https://bodyandfragrance.in/,Yes,
1549,Body Building,Active,https://www.bodybuilding.com/en-IN/index,Yes,
1782,Body Cupid,Active,https://www.bodycupid.com,Yes,
1783,Body Cupid D,Active,https://www.bodycupid.com,Yes,
607,Boerandfitch.com,Active,http://www.boerandfitch.com/,Yes,
1586,BoldCare,Active,https://www.boldcare.in/,Yes,
2070,BoldCare D,Active,https://www.boldcare.in/,Yes,
835,Boldnyoung.com,Active,https://boldnyoung.com/,No,
761,Bombay Shaving Company,Active,https://www.bombayshavingcompany.com,Yes,
2018,Bombay Shaving Company D,Active,https://www.bombayshavingcompany.com,Yes,
1963,Bombay Shirt Company,Active,https://www.bombayshirts.com,Yes,
1964,Bombay Shirt Company D,Active,https://www.bombayshirts.com,Yes,
758,Bonorganik.in,Active,https://bonorganik.in/,Yes,
1901,Bonus Earnly,Active,https://www.gopaisa.com/,Yes,
1902,Bonus GoPaisa,Active,,,
628,Bonzeal.com,Active,https://www.bonzeal.com/,Yes,
321,Bookadda.com,Active,http://35.194.30.57/go2store/id/321,No,
1878,Booking D,Active,https://booking.com/,Yes,
393,Booking.com,Active,https://booking.com/,Yes,
303,Bookingkhazana.com,Active,http://35.194.30.57/go2store/id/303,No,
179,Bookmyflowers.com,Active,https://www.bookmyflowers.com/,No,
445,Bookmyshow,Active,http://35.194.30.57/go2store/id/445,No,
2058,Bookmyshow D,Active,https://in.bookmyshow.com,Yes,
593,Bookmyshow-Coupons,Active,https://in.bookmyshow.com,Yes,
743,Boomagift.com,Active,http://boomagift.com/,No,
2253,Boult Audio,Active,https://www.boultaudio.com/,Yes,
2254,Boult Audio D,Active,https://www.boultaudio.com/,Yes,
669,BOX8 - Desi Meals,Active,https://box8.in/,Yes,
1167,BrandfactoryD,Active,https://www.brandfactoryonline.com/,No,
1115,Brandfactoryonline,Active,https://www.brandfactoryonline.com,No,
329,Brandsvillage.com,Active,http://35.194.30.57/go2store/id/329,No,
2132,Brillare,Active,https://www.brillare.co.in/,Yes,
2133,Brillare D,Active,https://www.brillare.co.in/,Yes,
568,bro4u.com,Active,https://bro4u.com/,Yes,
1345,Bryan & Candy,Active,https://bryanandcandy.com/,Yes,
1372,BubbleFarm,Active,https://bubblefarm.in/,Yes,
1123,Bulbul TV,Active,https://m.bulbul.tv/,No,
1242,BullGuard,Active,https://www.bullguard.com/,Yes,
540,Burger King Delivery,Active,https://bkdelivery.in,Yes,
1058,Burrp,Active,https://www.burrp.com/burrpMore,No,
906,Business-Standard,Active,https://www.business-standard.com/subscription-cart/product,Yes,
401,Buspapa.com,Active,http://35.194.30.57/go2store/id/401,No,
883,ButterflyAyurveda.com,Active,https://www.butterflyayurveda.com/,Yes,
1099,Buyfinish,Active,https://buyfinish.com/,No,
1281,Buymysecurity,Active,https://www.buymysecurity.com/,Yes,
378,Buynbrag.com,Active,http://35.194.30.57/go2store/id/378,No,
222,Buyundercover.com,Active,http://35.194.30.57/go2store/id/222,No,
1952,Buywow Exclusive,Active,https://www.wowskinscienceindia.com/,Yes,
110,Bwitch.in,Active,http://35.194.30.57/go2store/id/110,No,
1354,Byju's Classes,Active,https://byjus.com/,Yes,
1804,Byju's Classes D,Active,https://byjus.com/,Yes,
1933,Cadbury Dessert D,Active,https://www.dessertscorner.com/,Yes,
1990,Cadbury Gems D,Active,https://www.cadburygems.in/,Yes,
1882,Cadbury Perklight D,Active,https://www.cadburyperktakeitlight.com,No,
2235,Cadbury PlayPad D,Active,https://cadburyplaypad.com/,Yes,
1327,Cadburygifting D,Active,https://cadburygifting.in/,Yes,
1103,Cadburygifting.in,Active,https://cadburygifting.in/occasions/rakhi-gifts.html,Yes,
317,Cairon.me,Active,http://35.194.30.57/go2store/id/317,No,
1172,Callhealth,Active,https://www.callhealth.com/,Yes,
2012,CallsXp D,Active,https://callxp.com/,Yes,
2206,Canara HSBC CPL D,Active,https://www.canarahsbclife.com/,Yes,
270,Candere,Active,https://www.candere.com/,Yes,
2120,Candere D,Active,https://www.candere.com/,Yes,
2332,Canvaschamp,Active,https://www.canvaschamp.in/,Yes,
2333,Canvaschamp D,Active,https://www.canvaschamp.in/,Yes,
726,Canvera.com,Active,https://www.canvera.com/,Yes,
2194,Caprese Bags,Active,https://www.capresebags.com/,Yes,
2195,Caprese Bags D,Active,https://www.capresebags.com/,Yes,
266,Caratlane.com,Active,http://35.194.30.57/go2store/id/266,No,
126,Carstudio.com,Active,http://35.194.30.57/go2store/id/126,No,
1226,Cashify E-Store,Active,https://store.cashify.in/,Yes,
723,Cashify.in,Active,https://www.cashify.in/,Yes,
1170,CashifyD,Active,https://www.cashify.in/,Yes,
1232,Casino Superlines,Active,https://www.casinosuperlines.net/,No,
119,Cbazaar,Active,http://35.194.30.57/go2store/id/119,No,
1264,Central,Active,https://centralandme.com/,,
1265,Central D,Active,https://centralandme.com/,,
522,ChaiPoint.com,Active,http://35.194.30.57/go2store/id/522,No,
579,Cheapoair.com,Active,https://www.cheapoair.com/,Yes,
